userID,restID,rating
1235,0,1
1466,0,1
1016,0,2
1353,0,2
1172,0,2
1193,0,2
1345,0,2
1100,0,2
1178,0,2
1349,0,3
1268,0,3
1393,0,3
1004,0,3
1465,0,3
1156,0,4
1426,0,4
1244,0,4
1272,0,4
1181,0,4
1241,0,4
1264,0,4
1254,0,4
1293,0,4
1362,0,4
1342,0,4
1484,0,4
1380,0,4
1158,0,4
1392,0,4
1013,0,4
1494,0,4
1489,0,4
1223,0,4
1194,0,4
1189,0,4
1099,0,4
1275,0,4
1208,0,4
1035,0,5
1127,0,5
1384,0,5
1402,0,5
1224,0,5
1018,0,5
1068,0,5
1333,0,5
1315,0,5
1186,0,5
1396,0,5
1334,0,5
1281,0,5
1062,0,5
1363,0,5
1219,0,5
1228,0,5
1483,0,5
1265,0,5
1160,0,5
1442,0,5
1479,0,5
1499,0,5
1082,0,5
1335,0,5
1145,0,5
1273,0,5
1482,0,5
1407,0,5
1263,0,5
1478,0,5
1260,0,5
1389,0,5
1480,0,5
1126,0,5
1139,0,5
1141,0,5
1202,0,5
1415,0,5
1074,0,5
1005,0,5
1047,0,5
1061,0,5
1237,0,5
1000,0,5
1087,0,5
1277,0,5
1307,0,5
1436,0,5
1128,0,5
1201,0,5
1045,0,5
1008,0,5
1116,0,5
1310,0,5
1446,0,5
1435,0,5
1135,0,5
1461,0,5
1191,0,5
1251,0,5
1209,0,5
1329,1,1
1301,1,2
1375,1,2
1084,1,3
1030,1,3
1190,1,3
1479,1,3
1316,1,3
1456,1,3
1380,1,4
1214,1,4
1184,1,4
1454,1,4
1307,1,4
1239,1,4
1365,1,4
1366,1,4
1127,1,4
1002,1,4
1212,1,4
1270,1,4
1278,1,4
1183,1,4
1114,1,4
1379,1,4
1312,1,4
1481,1,4
1369,1,4
1493,1,5
1145,1,5
1132,1,5
1277,1,5
1341,1,5
1165,1,5
1068,1,5
1271,1,5
1044,1,5
1069,1,5
1003,1,5
1092,1,5
1166,1,5
1320,1,5
1216,1,5
1031,1,5
1124,1,5
1451,1,5
1034,1,5
1088,1,5
1047,1,5
1446,1,5
1038,1,5
1299,1,5
1403,1,5
1340,1,5
1272,1,5
1225,1,5
1352,1,5
1480,1,5
1045,1,5
1076,1,5
1067,1,5
1355,1,5
1094,1,5
1342,1,5
1291,1,5
1435,1,5
1376,1,5
1180,1,5
1438,1,5
1141,1,5
1485,1,5
1221,1,5
1004,1,5
1424,1,5
1010,1,5
1009,1,5
1056,1,5
1467,1,5
1413,1,5
1237,1,5
1275,1,5
1455,1,5
1308,1,5
1252,1,5
1427,1,5
1197,1,5
1402,1,5
1210,1,5
1363,1,5
1268,1,5
1314,1,5
1453,1,5
1001,1,5
1280,1,5
1337,1,5
1037,1,5
1354,1,5
1269,1,5
1383,1,5
1499,1,5
1091,2,1
1340,2,2
1215,2,2
1095,2,3
1437,2,3
1351,2,3
1289,2,3
1336,2,3
1038,2,4
1124,2,4
1126,2,4
1131,2,4
1228,2,4
1069,2,4
1290,2,4
1474,2,4
1337,2,4
1493,2,4
1305,2,4
1051,2,4
1483,2,4
1109,2,4
1438,2,4
1103,2,5
1210,2,5
1384,2,5
1104,2,5
1330,2,5
1373,2,5
1288,2,5
1205,2,5
1074,2,5
1281,2,5
1019,2,5
1394,2,5
1342,2,5
1093,2,5
1003,2,5
1166,2,5
1061,2,5
1387,2,5
1207,2,5
1480,2,5
1029,2,5
1133,2,5
1008,2,5
1365,2,5
1064,2,5
1426,2,5
1434,2,5
1049,2,5
1391,2,5
1263,2,5
1188,2,5
1359,2,5
1072,2,5
1443,2,5
1219,2,5
1140,2,5
1268,2,5
1246,2,5
1254,2,5
1345,2,5
1022,2,5
1144,2,5
1081,2,5
1105,2,5
1356,2,5
1326,2,5
1178,2,5
1200,2,5
1423,2,5
1285,2,5
1042,2,5
1078,2,5
1469,2,5
1327,2,5
1065,2,5
1269,2,5
1150,2,5
1035,2,5
1197,2,5
1020,2,5
1154,2,5
1243,2,5
1155,2,5
1004,2,5
1007,2,5
1476,2,5
1270,2,5
1182,2,5
1265,2,5
1229,2,5
1083,2,5
1313,2,5
1075,2,5
1312,2,5
1349,2,5
1331,2,5
1432,2,5
1442,3,1
1049,3,1
1351,3,1
1090,3,2
1073,3,2
1380,3,3
1236,3,3
1233,3,3
1017,3,3
1018,3,3
1259,3,3
1281,3,4
1102,3,4
1020,3,4
1157,3,4
1162,3,4
1194,3,4
1359,3,4
1110,3,4
1286,3,4
1016,3,4
1247,3,4
1025,3,4
1008,3,4
1429,3,4
1015,3,4
1227,3,5
1146,3,5
1181,3,5
1063,3,5
1471,3,5
1161,3,5
1061,3,5
1491,3,5
1001,3,5
1230,3,5
1339,3,5
1109,3,5
1393,3,5
1268,3,5
1250,3,5
1426,3,5
1055,3,5
1308,3,5
1135,3,5
1293,3,5
1277,3,5
1366,3,5
1417,3,5
1052,3,5
1094,3,5
1367,3,5
1275,3,5
1428,3,5
1150,3,5
1476,3,5
1014,3,5
1207,3,5
1340,3,5
1260,3,5
1375,3,5
1346,3,5
1148,3,5
1385,3,5
1241,3,5
1330,3,5
1271,3,5
1175,3,5
1185,3,5
1490,3,5
1497,3,5
1311,3,5
1235,3,5
1047,3,5
1276,3,5
1456,3,5
1467,3,5
1395,3,5
1238,3,5
1253,3,5
1200,3,5
1222,3,5
1278,3,5
1362,3,5
1071,3,5
1189,3,5
1107,3,5
1353,3,5
1159,3,5
1316,3,5
1050,3,5
1410,3,5
1155,3,5
1035,3,5
1335,3,5
1057,3,5
1347,3,5
